Direccion;Numero;Activo;Bicis_disponibles;Espacios_libres;Espacios_totales;ticket;fecha_actualizacion;geo_shape;geo_point_2d;update_jcd
Jerónimo Monsoriu - Industria;73;T;19;0;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3428792786496773, 39.4662592905475], ""type"": ""Point""}";39.4662592905475, -0.3428792786496773;2026-02-25T21:28:33+01:00
Gaspar Aguilar - Vicente Parra;86;T;4;16;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.39119345191575566, 39.4552402764855], ""type"": ""Point""}";39.4552402764855, -0.39119345191575566;2026-02-25T21:18:34+01:00
Av. Puerto - Plaza Tribunal de les Aigües;71;T;6;12;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.33353125122308164, 39.46038026686525], ""type"": ""Point""}";39.46038026686525, -0.33353125122308164;2026-02-25T21:24:15+01:00
Av. Puerto - Doctor Manuel Candela;65;T;19;0;19;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3508373061951808, 39.465516292011046], ""type"": ""Point""}";39.465516292011046, -0.3508373061951808;2026-02-25T21:20:30+01:00
Blasco Ibañez - Poeta Durán Tortajada;93;T;38;0;38;F;25/02/2026 20:29:29;"{""coordinates"": [-0.34380927742382206, 39.472282310670764], ""type"": ""Point""}";39.472282310670764, -0.34380927742382206;2026-02-25T21:23:45+01:00
Plaza San Felipe Neri (Mercado Algirós);74;T;15;4;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3537343124957471, 39.469949307546806], ""type"": ""Point""}";39.469949307546806, -0.3537343124957471;2026-02-25T21:26:23+01:00
Guillem de Castro (Torres de Quart);82;T;3;11;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3839144104057024, 39.47605634238628], ""type"": ""Point""}";39.47605634238628, -0.3839144104057024;2026-02-25T21:27:16+01:00
Alberique, 18 (Abastos);25;T;3;20;23;F;25/02/2026 20:29:29;"{""coordinates"": [-0.38861043334080225, 39.46772931656263], ""type"": ""Point""}";39.46772931656263, -0.38861043334080225;2026-02-25T21:26:27+01:00
Aragón - Ernesto Ferrer;79;T;4;16;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.357242322435451, 39.4727793187067], ""type"": ""Point""}";39.4727793187067, -0.357242322435451;2026-02-25T21:27:39+01:00
Plaza América - Cirilo Amorós - Sorní;29;T;1;19;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3652993525279599, 39.47011231364647], ""type"": ""Point""}";39.47011231364647, -0.3652993525279599;2026-02-25T21:26:18+01:00
Germanías - Ruzafa;33;T;0;16;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.37399038562310283, 39.46481830023885], ""type"": ""Point""}";39.46481830023885, -0.37399038562310283;2026-02-25T21:28:03+01:00
Blasco Ibañez, 23 (F. Filosofía y Psicología);89;T;1;28;30;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3593183259089267, 39.47780233689744], ""type"": ""Point""}";39.47780233689744, -0.3593183259089267;2026-02-25T21:23:40+01:00
Grabador Jordan - Escultor Pastor;91;T;13;2;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.36757337969703135, 39.44412522887422], ""type"": ""Point""}";39.44412522887422, -0.36757337969703135;2026-02-25T21:26:38+01:00
C/GUILLEM DE CASTRO esquina con C/NA JORDANA;1;T;3;20;25;F;25/02/2026 20:29:29;"{""coordinates"": [-0.38292927973315827, 39.48004223020643], ""type"": ""Point""}";39.48004223020643, -0.38292927973315827;2026-02-25T21:23:29+01:00
Plaza Poeta Llorente;5;T;3;12;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3711403661399108, 39.476895339123786], ""type"": ""Point""}";39.476895339123786, -0.3711403661399108;2026-02-25T21:28:25+01:00
Plaza de la Reina - Mar;8;T;0;9;9;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3752982847143531, 39.473881223660634], ""type"": ""Point""}";39.473881223660634, -0.3752982847143531;2026-02-25T21:26:59+01:00
Huesca - Barón de Cárcer;14;T;1;18;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.37972440222295445, 39.46896731649349], ""type"": ""Point""}";39.46896731649349, -0.37972440222295445;2026-02-25T21:28:18+01:00
Plaza del Mercado - Taula de Canvis;7;T;5;14;19;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3791853952972924, 39.47487233593648], ""type"": ""Point""}";39.47487233593648, -0.3791853952972924;2026-02-25T21:25:48+01:00
Regne de Valencia - Almirante Cadarso;35;T;4;5;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.36699436340059455, 39.46374929341137], ""type"": ""Point""}";39.46374929341137, -0.36699436340059455;2026-02-25T21:22:13+01:00
Escultor José Capuz - Oriente;43;T;13;7;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.36115334583643566, 39.459477276259406], ""type"": ""Point""}";39.459477276259406, -0.36115334583643566;2026-02-25T21:18:41+01:00
Colón, 60;16;T;6;14;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3704333693720587, 39.470092316192336], ""type"": ""Point""}";39.470092316192336, -0.3704333693720587;2026-02-25T21:27:27+01:00
Colón 20-22;18;T;12;12;24;F;25/02/2026 20:29:29;"{""coordinates"": [-0.37312937987373457, 39.468191311513856], ""type"": ""Point""}";39.468191311513856, -0.37312937987373457;2026-02-25T21:28:17+01:00
Angel Guimerá - Juan Llorens;22;T;2;13;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3883534313205414, 39.46978732404922], ""type"": ""Point""}";39.46978732404922, -0.3883534313205414;2026-02-25T21:25:04+01:00
Plaza de los Fueros - Conde Trenor;36;T;12;13;25;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3754363798581042, 39.479072348860946], ""type"": ""Point""}";39.479072348860946, -0.3754363798581042;2026-02-25T21:28:33+01:00
Peris y Valero - Cabo Jubi;38;T;10;5;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.37024937736936264, 39.45940204927687], ""type"": ""Point""}";39.45940204927687, -0.37024937736936264;2026-02-25T21:28:03+01:00
Antonio Ferrandis - General Urrutia;48;T;9;11;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.35855273823228967, 39.450807354184086], ""type"": ""Point""}";39.450807354184086, -0.35855273823228967;2026-02-25T21:27:38+01:00
Ricardo Muñoz Suay - María José Victoria Fuster (C.C. El Saler);49;T;0;25;25;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3571104198826364, 39.45298693239739], ""type"": ""Point""}";39.45298693239739, -0.3571104198826364;2026-02-25T21:23:50+01:00
Moreras (Oceanográfico);51;T;4;16;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3472273049060467, 39.45218324552497], ""type"": ""Point""}";39.45218324552497, -0.3472273049060467;2026-02-25T21:25:00+01:00
Baleares - Río Escalona;59;T;12;2;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3545493213542055, 39.463088285667624], ""type"": ""Point""}";39.463088285667624, -0.3545493213542055;2026-02-25T21:28:21+01:00
Vicent Vidal - Pintor Maella;61;T;16;2;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.34783029886743094, 39.46129327599964], ""type"": ""Point""}";39.46129327599964, -0.34783029886743094;2026-02-25T21:27:36+01:00
Av Puerto 19 (Telefónica);63;T;13;7;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.358414330727018, 39.46777930285978], ""type"": ""Point""}";39.46777930285978, -0.358414330727018;2026-02-25T21:28:33+01:00
Menorca - Baleares;62;T;19;1;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3421522812931475, 39.45981126842254], ""type"": ""Point""}";39.45981126842254, -0.3421522812931475;2026-02-25T21:21:33+01:00
Av. Puerto - José Aguilar;68;T;20;0;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3417332778594022, 39.46280327868023], ""type"": ""Point""}";39.46280327868023, -0.3417332778594022;2026-02-25T21:22:59+01:00
Blasco Ibañez - Mestre Ripoll;100;T;19;0;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.33815025853445674, 39.471634305646866], ""type"": ""Point""}";39.471634305646866, -0.33815025853445674;2026-02-25T21:19:09+01:00
Naranjos (Magisterio);95;T;0;33;33;F;25/02/2026 20:29:29;"{""coordinates"": [-0.34611927939668474, 39.47983533734356], ""type"": ""Point""}";39.47983533734356, -0.34611927939668474;2026-02-25T21:19:39+01:00
Blasco Ibañez 166 - Pintor José Mongrell;99;T;21;0;21;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3404842660990001, 39.47134430635022], ""type"": ""Point""}";39.47134430635022, -0.3404842660990001;2026-02-25T21:27:16+01:00
Llano de la Zaidía - Doctor Olóriz;153;T;13;9;24;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3805912745331588, 39.48305822805289], ""type"": ""Point""}";39.48305822805289, -0.3805912745331588;2026-02-25T21:25:06+01:00
CALLE SANTA AMALIA  2, esquina POETA BODRIA;131;T;1;19;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3729122732215235, 39.48141722170027], ""type"": ""Point""}";39.48141722170027, -0.3729122732215235;2026-02-25T21:27:02+01:00
Zapadores, 23;181;T;3;12;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3681913713233589, 39.45799927509706], ""type"": ""Point""}";39.45799927509706, -0.3681913713233589;2026-02-25T21:25:47+01:00
Ebanista Caselles - Ausias March;185;T;8;7;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3705033850186671, 39.45004424948915], ""type"": ""Point""}";39.45004424948915, -0.3705033850186671;2026-02-25T21:28:18+01:00
Doctor Vicente Zaragozá - Ramón Asensio;116;T;5;10;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3575613154471814, 39.48325335356676], ""type"": ""Point""}";39.48325335356676, -0.3575613154471814;2026-02-25T21:24:52+01:00
Giorgeta - Roig de Corella;195;T;3;5;16;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3842814248129742, 39.459384287208486], ""type"": ""Point""}";39.459384287208486, -0.3842814248129742;2026-02-25T21:28:12+01:00
UPV Caminos;113;T;0;38;38;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3436112694462359, 39.48127634089521], ""type"": ""Point""}";39.48127634089521, -0.3436112694462359;2026-02-25T21:26:15+01:00
Pio XII - Menéndez PIdal (Nuevo Centro);143;T;3;26;30;F;25/02/2026 20:29:29;"{""coordinates"": [-0.39093643241708165, 39.4795373575288], ""type"": ""Point""}";39.4795373575288, -0.39093643241708165;2026-02-25T21:27:06+01:00
Plaza Badajoz;145;T;3;12;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.398395456094638, 39.48154736759815], ""type"": ""Point""}";39.48154736759815, -0.398395456094638;2026-02-25T21:27:31+01:00
Estación AVE Joaquín Sorolla;194;T;8;32;40;F;25/02/2026 20:29:29;"{""coordinates"": [-0.38179930448705707, 39.4607722298068], ""type"": ""Point""}";39.4607722298068, -0.38179930448705707;2026-02-25T21:27:12+01:00
Fontanars dels Aforins - Vall d'Uixó;198;T;5;15;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.395316462028443, 39.46088029740053], ""type"": ""Point""}";39.46088029740053, -0.395316462028443;2026-02-25T21:27:51+01:00
Puerto Rico - Cuba;156;T;4;10;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3763453968184098, 39.46096428829767], ""type"": ""Point""}";39.46096428829767, -0.3763453968184098;2026-02-25T21:20:00+01:00
José María de Haro - Justo y Pastor;160;T;19;1;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.33898126470999496, 39.467336291769534], ""type"": ""Point""}";39.467336291769534, -0.33898126470999496;2026-02-25T21:27:26+01:00
Juan XXIII - Domingo Gómez;175;T;9;3;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.38271239433339566, 39.49258939642365], ""type"": ""Point""}";39.49258939642365, -0.38271239433339566;2026-02-25T21:27:45+01:00
Ángel Villena - Ausias March;187;T;2;12;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3688183809361798, 39.447960241518516], ""type"": ""Point""}";39.447960241518516, -0.3688183809361798;2026-02-25T21:27:32+01:00
Azagador de Alboraya - Dolores Marqués;124;T;9;16;25;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3619553259600363, 39.48850137319014], ""type"": ""Point""}";39.48850137319014, -0.3619553259600363;2026-02-25T21:25:35+01:00
Platero Suárez - Milagrosa;132;T;11;4;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3734343681182198, 39.48528636793778], ""type"": ""Point""}";39.48528636793778, -0.3734343681182198;2026-02-25T21:26:35+01:00
Beato Nicolás Factor - Convento de Jesús;199;T;2;13;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.39155844823975844, 39.46158829801141], ""type"": ""Point""}";39.46158829801141, -0.39155844823975844;2026-02-25T21:24:10+01:00
Manuel Candela - Rodriguez de Cepeda;150;T;24;1;25;F;25/02/2026 20:29:29;"{""coordinates"": [-0.35060930364544307, 39.46772129856667], ""type"": ""Point""}";39.46772129856667, -0.35060930364544307;2026-02-25T21:26:18+01:00
Jerónimo Monsoriu - Alcalde Cano Coloma;151;T;19;1;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.33711726031421224, 39.464669282422186], ""type"": ""Point""}";39.464669282422186, -0.33711726031421224;2026-02-25T21:28:18+01:00
Reina Doña María - Cádiz;152;T;3;12;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3727053849231208, 39.460925286769694], ""type"": ""Point""}";39.460925286769694, -0.3727053849231208;2026-02-25T21:19:22+01:00
Manuel Broseta i Pont - Naranjos;112;T;14;25;40;F;25/02/2026 20:29:29;"{""coordinates"": [-0.34227526701990957, 39.47858033137406], ""type"": ""Point""}";39.47858033137406, -0.34227526701990957;2026-02-25T21:26:12+01:00
UPV Informática;114;T;0;29;30;F;25/02/2026 20:29:29;"{""coordinates"": [-0.346591279156021, 39.4818043438759], ""type"": ""Point""}";39.4818043438759, -0.346591279156021;2026-02-25T21:27:26+01:00
Gregorio Gea - Padre Ferris;141;T;5;14;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3851564091174212, 39.483268367245344], ""type"": ""Point""}";39.483268367245344, -0.3851564091174212;2026-02-25T21:24:51+01:00
Cra. Malilla - Bulevar Sur;190;T;1;14;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.38029642271654757, 39.44608224133691], ""type"": ""Point""}";39.44608224133691, -0.38029642271654757;2026-02-25T21:22:45+01:00
Ausias March - Pianista Amparo Iturbi;182;T;7;14;21;F;25/02/2026 20:29:29;"{""coordinates"": [-0.37496539716978367, 39.455432269344854], ""type"": ""Point""}";39.455432269344854, -0.37496539716978367;2026-02-25T21:21:31+01:00
Cno. Moncada - Pedro Patricio Mey;176;T;7;13;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.378853381402734, 39.49201739310727], ""type"": ""Point""}";39.49201739310727, -0.378853381402734;2026-02-25T21:19:16+01:00
Naranjos - Ingeniero Fausto Elio;109;T;2;17;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3335102388084858, 39.4768193210939], ""type"": ""Point""}";39.4768193210939, -0.3335102388084858;2026-02-25T21:28:30+01:00
UPV Galileo;111;T;9;21;30;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3395082613341325, 39.48066419504159], ""type"": ""Point""}";39.48066419504159, -0.3395082613341325;2026-02-25T21:26:25+01:00
Marino Blas de Lezo (estación Cabañal Adif);101;T;23;6;30;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3348422811122132, 39.47022899172744], ""type"": ""Point""}";39.47022899172744, -0.3348422811122132;2026-02-25T21:27:08+01:00
Rubén Darío - Plaza Fray Luis Colomer;103;T;1;14;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3523713017453889, 39.47845333567255], ""type"": ""Point""}";39.47845333567255, -0.3523713017453889;2026-02-25T21:24:01+01:00
Luís Peixó 20;108;T;9;6;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3339152679031098, 39.47382619077011], ""type"": ""Point""}";39.47382619077011, -0.3339152679031098;2026-02-25T21:24:04+01:00
Cataluña - Doctor Vicente Zaragozá;115;T;0;16;16;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3521482985209469, 39.481562345598135], ""type"": ""Point""}";39.481562345598135, -0.3521482985209469;2026-02-25T21:27:52+01:00
Murta - Sant Eperit;121;T;8;7;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.35877131748144303, 39.48618236435413], ""type"": ""Point""}";39.48618236435413, -0.35877131748144303;2026-02-25T21:26:16+01:00
Alfahuir - José Chabas Bordehore;126;T;7;9;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.36010431604895277, 39.49309838788837], ""type"": ""Point""}";39.49309838788837, -0.36010431604895277;2026-02-25T21:25:01+01:00
Alfahuir - Peñiscola;128;T;4;21;25;F;25/02/2026 20:29:29;"{""coordinates"": [-0.367544345093534, 39.48876637693274], ""type"": ""Point""}";39.48876637693274, -0.367544345093534;2026-02-25T21:22:25+01:00
Traginers - Pedrapiquers;260;T;8;12;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.4072175039832668, 39.45955629873093], ""type"": ""Point""}";39.45955629873093, -0.4072175039832668;2026-02-25T21:18:42+01:00
Tres Forques - Colonia Española de Mexico;262;T;1;18;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.40922550688289966, 39.463472312903384], ""type"": ""Point""}";39.463472312903384, -0.40922550688289966;2026-02-25T21:25:47+01:00
Canal de Navarrés - Maestro Rodrigo;266;T;1;17;18;F;25/02/2026 20:29:29;"{""coordinates"": [-0.40637147642320165, 39.49028940014262], ""type"": ""Point""}";39.49028940014262, -0.40637147642320165;2026-02-25T21:22:32+01:00
Plaza Luis Cano, 5;268;T;5;5;10;F;25/02/2026 20:29:29;"{""coordinates"": [-0.41849350927046264, 39.50144544298018], ""type"": ""Point""}";39.50144544298018, -0.41849350927046264;2026-02-25T21:20:19+01:00
Ninot - Regino Mas;270;T;8;8;16;F;25/02/2026 20:29:29;"{""coordinates"": [-0.39288942312141745, 39.50007542649037], ""type"": ""Point""}";39.50007542649037, -0.39288942312141745;2026-02-25T21:22:26+01:00
Vicente la Roda - Ingeniero Fausto Elio;272;T;13;2;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.33219023115385166, 39.48062333339468], ""type"": ""Point""}";39.48062333339468, -0.33219023115385166;2026-02-25T21:25:29+01:00
Alcasser - Poeta Alberto Lista;265;T;4;11;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.40811749816977394, 39.470973337167365], ""type"": ""Point""}";39.470973337167365, -0.40811749816977394;2026-02-25T21:19:56+01:00
San Clemente - Hospital Arnau de Vilanova;227;T;2;18;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.40293146422681364, 39.49024839844318], ""type"": ""Point""}";39.49024839844318, -0.40293146422681364;2026-02-25T21:26:25+01:00
San Juan Bosco - Santiago Rusiñol;233;T;8;5;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.36943734517384297, 39.497160406039164], ""type"": ""Point""}";39.497160406039164, -0.36943734517384297;2026-02-25T21:26:25+01:00
Poeta Serrano Clavero - General Llorens;230;T;2;13;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.38678440634001116, 39.49475040560395], ""type"": ""Point""}";39.49475040560395, -0.38678440634001116;2026-02-25T21:22:26+01:00
San Vicente Paul - Santiago Rusiñol;232;T;11;3;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.36575333473149996, 39.49464439592328], ""type"": ""Point""}";39.49464439592328, -0.36575333473149996;2026-02-25T21:24:24+01:00
Músico Ayllón - Francisco Dolz;215;T;0;15;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.39674846254882856, 39.46567131414367], ""type"": ""Point""}";39.46567131414367, -0.39674846254882856;2026-02-25T21:27:11+01:00
Fray Juanípero Serra - Torrente;212;T;1;14;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.40039647823746194, 39.46148430130945], ""type"": ""Point""}";39.46148430130945, -0.40039647823746194;2026-02-25T21:23:30+01:00
Castán Tobeñas - Patriques;220;T;4;12;16;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3983214623957442, 39.47385534208041], ""type"": ""Point""}";39.47385534208041, -0.3983214623957442;2026-02-25T21:26:23+01:00
Arquitecto Segura del Lago - Camino Nuevo de Picaña;251;T;7;8;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.4044134972721287, 39.45583028505104], ""type"": ""Point""}";39.45583028505104, -0.4044134972721287;2026-02-25T21:25:23+01:00
José Meliá Castelló - Campos Crespo;253;T;6;9;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.4011014879360589, 39.45272627278094], ""type"": ""Point""}";39.45272627278094, -0.4011014879360589;2026-02-25T21:24:26+01:00
Valle de la Ballestera - Hospital Nueve de Octubre;223;T;0;20;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.4011874677803583, 39.47855835893999], ""type"": ""Point""}";39.47855835893999, -0.4011874677803583;2026-02-25T21:26:09+01:00
Tres Cruces - Jose Maria Mortes Lerma;248;T;0;20;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.40496949382893443, 39.46284030885798], ""type"": ""Point""}";39.46284030885798, -0.40496949382893443;2026-02-25T21:25:26+01:00
